2021-08-20/01:17:23	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:23	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:24	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:25	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:26	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
