2021-08-19/19:11:43	 	Error while creating table: 'Session' object has no attribute 'close' 
2021-08-19/22:08:39	 	Tables created successfully!!
2021-08-19/22:08:39	 	DB connection closed!!
2021-08-19/22:08:39	 	Tables created successfully!!
2021-08-19/22:08:39	 	DB connection closed!!
2021-08-19/22:08:39	 	Tables created successfully!!
2021-08-19/22:08:39	 	DB connection closed!!
2021-08-19/22:08:39	 	Tables created successfully!!
2021-08-19/22:08:39	 	DB connection closed!!
2021-08-19/22:08:39	 	Tables created successfully!!
2021-08-19/22:08:39	 	DB connection closed!!
2021-08-19/22:08:39	 	Tables created successfully!!
2021-08-19/22:08:39	 	DB connection closed!!
2021-08-19/22:08:39	 	Tables created successfully!!
2021-08-19/22:08:39	 	DB connection closed!!
2021-08-19/22:08:39	 	Tables created successfully!!
2021-08-19/22:08:39	 	DB connection closed!!
2021-08-19/22:08:39	 	Tables created successfully!!
2021-08-19/22:08:39	 	DB connection closed!!
2021-08-19/22:08:53	 	Tables created successfully!!
2021-08-19/22:08:53	 	DB connection closed!!
2021-08-19/22:08:53	 	Tables created successfully!!
2021-08-19/22:08:53	 	DB connection closed!!
2021-08-19/22:08:53	 	Tables created successfully!!
2021-08-19/22:08:53	 	DB connection closed!!
2021-08-19/22:08:53	 	Tables created successfully!!
2021-08-19/22:08:53	 	DB connection closed!!
2021-08-19/22:08:53	 	Tables created successfully!!
2021-08-19/22:08:53	 	DB connection closed!!
2021-08-19/22:08:53	 	Tables created successfully!!
2021-08-19/22:08:53	 	DB connection closed!!
2021-08-19/22:08:53	 	Tables created successfully!!
2021-08-19/22:08:53	 	DB connection closed!!
2021-08-19/22:08:53	 	Tables created successfully!!
2021-08-19/22:08:53	 	DB connection closed!!
2021-08-19/22:08:53	 	Tables created successfully!!
2021-08-19/22:08:53	 	DB connection closed!!
2021-08-19/22:08:53	 	Tables created successfully!!
2021-08-19/22:08:53	 	DB connection closed!!
2021-08-19/22:08:53	 	Tables created successfully!!
2021-08-19/22:08:53	 	DB connection closed!!
2021-08-19/22:08:53	 	Tables created successfully!!
2021-08-19/22:08:53	 	DB connection closed!!
2021-08-19/22:08:53	 	Tables created successfully!!
2021-08-19/22:08:54	 	DB connection closed!!
2021-08-19/22:08:54	 	Tables created successfully!!
2021-08-19/22:08:54	 	DB connection closed!!
2021-08-19/22:08:54	 	Tables created successfully!!
2021-08-19/22:08:54	 	DB connection closed!!
2021-08-19/22:08:54	 	Tables created successfully!!
2021-08-19/22:08:54	 	DB connection closed!!
2021-08-19/22:08:54	 	Tables created successfully!!
2021-08-19/22:08:54	 	DB connection closed!!
2021-08-19/22:08:54	 	Tables created successfully!!
